,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
57,57,13.0,Normal,normal3,0,0,0,0,0,0,0
66,66,14.0,Normal,normal3,1,0,0,0,0,0,0
75,75,15.0,Normal,normal3,5,0,0,0,0,0,0
85,85,16.0,Normal,normal3,11,0,0,0,0,0,0
95,95,17.0,Normal,normal3,19,0,0,0,0,0,0
106,106,18.0,Normal,normal3,28,0,0,0,0,0,0
118,118,19.0,Normal,normal3,37,0,0,0,0,0,0
131,131,20.0,Normal,normal3,47,0,0,0,0,0,0
144,144,21.0,Normal,normal3,55,0,0,0,0,0,0
158,158,22.0,Normal,normal3,62,0,0,0,0,0,0
173,173,23.0,Normal,normal3,68,0,0,0,0,0,0
189,189,24.0,Normal,normal3,72,0,0,0,0,0,0
205,205,25.0,Normal,normal3,76,0,0,0,0,0,0
222,222,26.0,Normal,normal3,78,0,0,0,0,0,0
240,240,27.0,Normal,normal3,80,0,0,0,0,0,0
259,259,28.0,Normal,normal3,84,0,0,0,0,0,0
278,278,29.0,Normal,normal3,88,0,0,0,0,0,0
298,298,30.0,Normal,normal3,94,0,0,0,0,0,0
318,318,31.0,Normal,normal3,102,0,0,0,0,0,0
340,340,32.0,Normal,normal3,111,0,0,0,0,0,0
362,362,33.0,Normal,normal3,122,0,0,0,0,0,0
385,385,34.0,Normal,normal3,134,0,0,0,0,0,0
409,409,35.0,Normal,normal3,147,0,0,0,0,0,0
434,434,36.0,Normal,normal3,160,0,0,0,0,0,0
459,459,37.0,Normal,normal3,174,0,0,0,0,0,0
485,485,38.0,Normal,normal3,188,0,0,0,0,0,0
512,512,39.0,Normal,normal3,202,0,0,0,0,0,0
540,540,40.0,Normal,normal3,216,0,0,0,0,0,0
569,569,41.0,Normal,normal3,230,0,0,0,0,0,0
598,598,42.0,Normal,normal3,244,0,0,0,0,0,0
629,629,43.0,Normal,normal3,258,0,0,0,0,0,0
660,660,44.0,Normal,normal3,272,0,0,0,0,0,0
693,693,45.0,Normal,normal3,286,0,0,0,0,0,0
726,726,46.0,Normal,normal3,300,0,0,0,0,0,0
759,759,47.0,Normal,normal3,314,0,0,0,0,0,0
793,793,48.0,Normal,normal3,327,0,0,0,0,0,0
828,828,49.0,Normal,normal3,341,0,0,0,0,0,0
863,863,50.0,Normal,normal3,354,0,0,0,0,0,0
899,899,51.0,Normal,normal3,367,0,0,0,0,0,0
936,936,52.0,Normal,normal3,380,0,0,0,0,0,0
975,975,53.0,Normal,normal3,393,0,0,0,0,0,0
1014,1014,54.0,Normal,normal3,405,0,0,0,0,0,0
1054,1054,55.0,Normal,normal3,416,0,0,0,0,0,0
1095,1095,56.0,Normal,normal3,427,0,0,0,0,0,0
1138,1138,57.0,Normal,normal3,437,0,0,0,0,0,0
1181,1181,58.0,Normal,normal3,446,0,0,0,0,0,0
1224,1224,59.0,Normal,normal3,454,0,0,0,0,0,0
1268,1268,60.0,Normal,normal3,459,0,0,0,0,0,0
1313,1313,61.0,Normal,normal3,464,0,0,0,0,0,0
1358,1358,62.0,Normal,normal3,467,0,0,0,0,0,0
1404,1404,63.0,Normal,normal3,469,0,0,0,0,0,0
1451,1451,64.0,Normal,normal3,473,0,0,0,0,0,0
1499,1499,65.0,Normal,normal3,479,0,0,0,0,0,0
1547,1547,66.0,Normal,normal3,487,0,0,0,0,0,0
1596,1596,67.0,Normal,normal3,497,0,0,0,0,0,0
1646,1646,68.0,Normal,normal3,508,0,0,0,0,0,0
1697,1697,69.0,Normal,normal3,520,0,0,0,0,0,0
1748,1748,70.0,Normal,normal3,533,0,0,0,0,0,0
1800,1800,71.0,Normal,normal3,546,0,0,0,0,0,0
1853,1853,72.0,Normal,normal3,560,0,0,0,0,0,0
1907,1907,73.0,Normal,normal3,574,0,0,0,0,0,0
1961,1961,74.0,Normal,normal3,587,0,0,0,0,0,0
2016,2016,75.0,Normal,normal3,601,0,0,0,0,0,0
2072,2072,76.0,Normal,normal3,615,0,0,0,0,0,0
2129,2129,77.0,Normal,normal3,629,0,0,0,0,0,0
2186,2186,78.0,Normal,normal3,643,0,0,0,0,0,0
2243,2243,79.0,Normal,normal3,657,0,0,0,0,0,0
2301,2301,80.0,Normal,normal3,671,0,0,0,0,0,0
2361,2361,81.0,Normal,normal3,685,0,0,0,0,0,0
2421,2421,82.0,Normal,normal3,699,0,0,0,0,0,0
2482,2482,83.0,Normal,normal3,713,0,0,0,0,0,0
2544,2544,84.0,Normal,normal3,727,0,0,0,0,0,0
2607,2607,85.0,Normal,normal3,741,0,0,0,0,0,0
2670,2670,86.0,Normal,normal3,755,0,0,0,0,0,0
2734,2734,87.0,Normal,normal3,769,0,0,0,0,0,0
2799,2799,88.0,Normal,normal3,783,0,0,0,0,0,0
2865,2865,89.0,Normal,normal3,797,0,0,0,0,0,0
2931,2931,90.0,Normal,normal3,811,0,0,0,0,0,0
2998,2998,91.0,Normal,normal3,825,0,0,0,0,0,0
