,Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
4729,4729,114.0,Slow,slow27,0,0,0,0,0,0,0
4811,4811,115.0,Slow,slow27,0,0,0,0,0,0,0
4894,4894,116.0,Slow,slow27,2,0,0,0,0,0,0
4978,4978,117.0,Slow,slow27,5,0,0,0,0,0,0
5062,5062,118.0,Slow,slow27,9,0,0,0,0,0,0
5147,5147,119.0,Slow,slow27,13,0,0,0,0,0,0
5233,5233,120.0,Slow,slow27,19,0,0,0,0,0,0
5320,5320,121.0,Slow,slow27,26,0,0,0,0,0,0
5407,5407,122.0,Slow,slow27,33,0,0,0,0,0,0
5495,5495,123.0,Slow,slow27,41,0,0,0,0,0,0
5584,5584,124.0,Slow,slow27,50,0,0,0,0,0,0
5674,5674,125.0,Slow,slow27,59,0,0,0,0,0,0
5764,5764,126.0,Slow,slow27,69,0,0,0,0,0,0
5855,5855,127.0,Slow,slow27,79,0,0,0,0,0,0
5947,5947,128.0,Slow,slow27,89,0,0,0,0,0,0
6040,6040,129.0,Slow,slow27,99,0,0,0,0,0,0
6133,6133,130.0,Slow,slow27,109,0,0,0,0,0,0
6227,6227,131.0,Slow,slow27,118,0,0,0,0,0,0
6322,6322,132.0,Slow,slow27,127,0,0,0,0,0,0
6418,6418,133.0,Slow,slow27,136,0,0,0,0,0,0
6514,6514,134.0,Slow,slow27,144,0,0,0,0,0,0
6611,6611,135.0,Slow,slow27,151,0,0,0,0,0,0
6709,6709,136.0,Slow,slow27,158,0,0,0,0,0,0
6808,6808,137.0,Slow,slow27,163,0,0,0,0,0,0
6907,6907,138.0,Slow,slow27,168,0,0,0,0,0,0
7007,7007,139.0,Slow,slow27,171,0,0,0,0,0,0
7107,7107,140.0,Slow,slow27,174,0,0,0,0,0,0
7207,7207,141.0,Slow,slow27,176,0,0,0,0,0,0
7307,7307,142.0,Slow,slow27,177,0,0,0,0,0,0
7408,7408,143.0,Slow,slow27,179,0,0,0,0,0,0
7510,7510,144.0,Slow,slow27,183,0,0,0,0,0,0
7613,7613,145.0,Slow,slow27,187,0,0,0,0,0,0
7716,7716,146.0,Slow,slow27,192,0,0,0,0,0,0
7820,7820,147.0,Slow,slow27,198,0,0,0,0,0,0
7925,7925,148.0,Slow,slow27,204,0,0,0,0,0,0
8031,8031,149.0,Slow,slow27,211,0,0,0,0,0,0
8137,8137,150.0,Slow,slow27,218,0,0,0,0,0,0
8244,8244,151.0,Slow,slow27,226,0,0,0,0,0,0
8352,8352,152.0,Slow,slow27,233,0,0,0,0,0,0
8461,8461,153.0,Slow,slow27,241,0,0,0,0,0,0
8570,8570,154.0,Slow,slow27,248,0,0,0,0,0,0
8680,8680,155.0,Slow,slow27,255,0,0,0,0,0,0
8791,8791,156.0,Slow,slow27,260,0,0,0,0,0,0
8903,8903,157.0,Slow,slow27,265,0,0,0,0,0,0
9015,9015,158.0,Slow,slow27,268,0,0,0,0,0,0
9128,9128,159.0,Slow,slow27,271,0,0,0,0,0,0
9242,9242,160.0,Slow,slow27,273,0,0,0,0,0,0
9356,9356,161.0,Slow,slow27,274,0,0,0,0,0,0
9470,9470,162.0,Slow,slow27,277,0,0,0,0,0,0
9585,9585,163.0,Slow,slow27,280,0,0,0,0,0,0
9700,9700,164.0,Slow,slow27,285,0,0,0,0,0,0
9816,9816,165.0,Slow,slow27,290,0,0,0,0,0,0
9932,9932,166.0,Slow,slow27,296,0,0,0,0,0,0
10048,10048,167.0,Slow,slow27,304,0,0,0,0,0,0
10165,10165,168.0,Slow,slow27,312,0,0,0,0,0,0
10284,10284,169.0,Slow,slow27,320,0,0,0,0,0,0
10404,10404,170.0,Slow,slow27,330,0,0,0,0,0,0
10525,10525,171.0,Slow,slow27,340,0,0,0,0,0,0
10648,10648,172.0,Slow,slow27,351,0,0,0,0,0,0
10772,10772,173.0,Slow,slow27,361,0,0,0,0,0,0
10896,10896,174.0,Slow,slow27,373,0,0,0,0,0,0
11021,11021,175.0,Slow,slow27,384,0,0,0,0,0,0
11147,11147,176.0,Slow,slow27,396,0,0,0,0,0,0
11274,11274,177.0,Slow,slow27,407,0,0,0,0,0,0
11401,11401,178.0,Slow,slow27,419,0,0,0,0,0,0
11528,11528,179.0,Slow,slow27,431,0,0,0,0,0,0
11656,11656,180.0,Slow,slow27,443,0,0,0,0,0,0
11785,11785,181.0,Slow,slow27,455,0,0,0,0,0,0
11914,11914,182.0,Slow,slow27,467,0,0,0,0,0,0
12044,12044,183.0,Slow,slow27,479,0,0,0,0,0,0
12175,12175,184.0,Slow,slow27,491,0,0,0,0,0,0
12307,12307,185.0,Slow,slow27,503,0,0,0,0,0,0
12439,12439,186.0,Slow,slow27,514,0,0,0,0,0,0
12572,12572,187.0,Slow,slow27,526,0,0,0,0,0,0
12706,12706,188.0,Slow,slow27,537,0,0,0,0,0,0
