Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
0,2.0,Normal,Normal1,0,0,0,0,0,0,0
1,3.0,Normal,Normal1,1,0,0,0,0,0,0
2,4.0,Normal,Normal1,5,0,0,0,0,0,0
3,5.0,Normal,Normal1,9,0,0,0,0,0,0
4,5.0,Slow,Slow1,0,0,0,0,0,0,0
5,6.0,Normal,Normal1,11,0,0,0,0,0,0
6,6.0,Slow,Slow1,0,0,0,0,0,0,0
7,7.0,Normal,Normal1,13,0,0,0,0,0,0
8,7.0,Slow,Slow1,1,0,0,0,0,0,0
9,8.0,Normal,Normal1,14,0,0,0,0,0,0
10,8.0,Slow,Slow1,2,0,0,0,0,0,0
11,9.0,Normal,Normal1,15,0,0,0,0,0,0
12,9.0,Slow,Slow1,4,0,0,0,0,0,0
13,10.0,Normal,Normal1,16,0,0,0,0,0,0
14,10.0,Slow,Slow1,5,0,0,0,0,0,0
15,11.0,Normal,Normal1,16,0,0,0,0,0,0
16,11.0,Slow,Slow1,6,0,0,0,0,0,0
17,12.0,Normal,Normal1,16,0,0,0,0,0,0
18,12.0,Slow,Slow1,7,0,0,0,0,0,0
19,13.0,Normal,Normal1,16,0,0,0,0,0,0
20,13.0,Slow,Slow1,7,0,0,0,0,0,0
21,13.0,Normal,normal.0,0,0,0,0,0,0,0
22,14.0,Normal,Normal1,16,0,0,0,0,0,0
23,14.0,Slow,Slow1,8,0,0,0,0,0,0
24,14.0,Normal,normal.0,0,0,0,0,0,0,0
25,15.0,Normal,Normal1,17,0,0,0,0,0,0
26,15.0,Slow,Slow1,8,0,0,0,0,0,0
27,15.0,Normal,normal.0,0,0,0,0,0,0,0
28,16.0,Normal,Normal1,17,0,0,0,0,0,0
29,16.0,Slow,Slow1,9,0,0,0,0,0,0
30,16.0,Normal,normal.0,0,0,0,0,0,0,0
31,17.0,Normal,Normal1,17,0,0,0,0,0,0
32,17.0,Slow,Slow1,9,0,0,0,0,0,0
33,17.0,Normal,normal.0,1,0,0,0,0,0,0
34,18.0,Normal,Normal1,17,0,0,0,0,0,0
35,18.0,Slow,Slow1,9,0,0,0,0,0,0
36,18.0,Normal,normal.0,1,0,0,0,0,0,0
37,19.0,Normal,Normal1,17,0,0,0,0,0,0
38,19.0,Slow,Slow1,9,0,0,0,0,0,0
39,19.0,Normal,normal.0,1,0,0,0,0,0,0
40,20.0,Normal,Normal1,17,0,0,0,0,0,0
41,20.0,Slow,Slow1,9,0,0,0,0,0,0
42,20.0,Normal,normal.0,1,0,0,0,0,0,0
43,21.0,Normal,Normal1,17,0,0,0,0,0,0
44,21.0,Slow,Slow1,9,0,0,0,0,0,0
45,21.0,Normal,normal.0,2,0,0,0,0,0,0
46,22.0,Normal,Normal1,17,0,0,0,0,0,0
47,22.0,Slow,Slow1,10,0,0,0,0,0,0
48,22.0,Normal,normal.0,2,0,0,0,0,0,0
49,23.0,Normal,Normal1,17,0,0,0,0,0,0
50,23.0,Slow,Slow1,10,0,0,0,0,0,0
51,23.0,Normal,normal.0,2,0,0,0,0,0,0
52,24.0,Normal,Normal1,17,0,0,0,0,0,0
53,24.0,Slow,Slow1,10,0,0,0,0,0,0
54,24.0,Normal,normal.0,2,0,0,0,0,0,0
55,25.0,Normal,Normal1,17,0,0,0,0,0,0
56,25.0,Slow,Slow1,10,0,0,0,0,0,0
57,25.0,Normal,normal.0,2,0,0,0,0,0,0
58,26.0,Normal,Normal1,17,0,0,0,0,0,0
59,26.0,Slow,Slow1,10,0,0,0,0,0,0
60,26.0,Normal,normal.0,2,0,0,0,0,0,0
61,27.0,Normal,Normal1,17,0,0,0,0,0,0
62,27.0,Slow,Slow1,10,0,0,0,0,0,0
63,27.0,Normal,normal.0,2,0,0,0,0,0,0
64,28.0,Normal,Normal1,17,0,0,0,0,0,0
65,28.0,Slow,Slow1,10,0,0,0,0,0,0
66,28.0,Normal,normal.0,2,0,0,0,0,0,0
67,29.0,Normal,Normal1,17,0,0,0,0,0,0
68,29.0,Slow,Slow1,10,0,0,0,0,0,0
69,29.0,Normal,normal.0,2,0,0,0,0,0,0
70,30.0,Normal,Normal1,17,0,0,0,0,0,0
71,30.0,Slow,Slow1,10,0,0,0,0,0,0
72,30.0,Normal,normal.0,2,0,0,0,0,0,0
73,31.0,Normal,Normal1,17,0,0,0,0,0,0
74,31.0,Slow,Slow1,10,0,0,0,0,0,0
75,31.0,Normal,normal.0,2,0,0,0,0,0,0
76,32.0,Normal,Normal1,17,0,0,0,0,0,0
77,32.0,Slow,Slow1,10,0,0,0,0,0,0
78,32.0,Normal,normal.0,2,0,0,0,0,0,0
79,33.0,Normal,Normal1,17,0,0,0,0,0,0
80,33.0,Slow,Slow1,10,0,0,0,0,0,0
